"STATION","NAME","DATE","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-16","0.00","0.0","0.0",,"62","34"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-17","0.00","0.0","0.0",,"55","28"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-18","0.00","0.0","0.0",,"60","34"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-19","0.07","0.0","0.0",,"50","35"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-20","0.00","0.0","0.0",,"56","39"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-21","0.00","0.0","0.0",,"64","32"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-22","0.00","0.0","0.0",,"52","38"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-23","0.00","0.0","0.0",,"48","33"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-24","0.00","0.0","0.0",,"50","31"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-25","0.00","0.0","0.0",,"59","26"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-26","0.00","0.0","0.0",,"58","33"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-27","0.00","0.0","0.0",,"58","33"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-28","0.05","0.0","0.0",,"62","36"
"USW00023169","LAS VEGAS MCCARRAN INTERNATIONAL AIRPORT, NV US","1960-02-29","0.24","0.0","0.0",,"47","38"
